Date,Open,High,Low,Close,Adj Close,Volume
2019-02-08,166.759995,168.589996,166.570007,168.559998,167.882599,29020700
2019-02-11,169.169998,169.580002,167.979996,168.399994,167.723236,21434100
2019-02-12,169.630005,171.139999,169.330002,170.889999,170.203247,29722100
2019-02-13,171.649994,172.160004,170.820007,171.009995,170.322754,26094100
2019-02-14,170.399994,171.830002,169.830002,171.220001,170.531906,30326800
2019-02-15,172.520004,172.559998,171.139999,171.940002,171.249023,32521700
2019-02-19,171.410004,172.800003,171.380005,172.279999,171.587646,19487700
2019-02-20,172.399994,173.080002,171.320007,172.250000,171.557785,32593000
2019-02-21,171.789993,172.259995,170.710007,171.619995,170.930313,25207400
2019-02-22,171.990005,173.009995,171.899994,172.889999,172.195206,27735400
2019-02-25,174.210007,174.660004,173.399994,173.520004,172.822678,32608800
2019-02-26,173.100006,174.250000,172.809998,173.699997,173.001938,21939700
2019-02-27,172.899994,173.800003,171.759995,173.589996,172.892380,25162000
2019-02-28,173.050003,173.809998,172.699997,173.190002,172.494003,25085500
2019-03-01,174.440002,174.649994,173.179993,174.389999,173.689178,31431200
2019-03-04,175.539993,175.789993,172.470001,174.419998,173.719040,38063500
2019-03-05,174.550003,175.089996,173.690002,174.550003,173.848541,22319900
2019-03-06,174.720001,174.750000,173.279999,173.559998,172.862518,27194600
2019-03-07,173.119995,173.179993,170.789993,171.429993,170.741058,39407400
2019-03-08,169.509995,171.259995,169.339996,171.169998,170.482117,39303200
2019-03-11,171.880005,174.850006,171.850006,174.729996,174.027817,30518400
2019-03-12,175.190002,176.139999,174.770004,175.690002,174.983948,33953500
2019-03-13,176.600006,177.929993,176.350006,177.009995,176.298645,42426100
2019-03-14,177.130005,177.339996,176.660004,176.710007,175.999863,23751500
2019-03-15,177.399994,178.880005,177.279999,178.350006,177.633270,38192000
2019-03-18,177.949997,178.990005,177.589996,178.449997,178.056320,32935100
2019-03-19,179.179993,180.000000,178.289993,179.050003,178.654999,36893300
2019-03-20,179.059998,180.860001,178.240005,179.759995,179.363434,50105000
2019-03-21,179.220001,182.830002,179.199997,182.570007,182.167236,42428500
2019-03-22,181.779999,182.270004,178.369995,178.559998,178.166077,70794500
2019-03-25,177.910004,178.839996,176.929993,178.220001,177.826828,46336500
2019-03-26,179.600006,180.690002,178.139999,179.050003,178.654999,33248100
2019-03-27,179.320007,179.720001,176.600006,177.899994,177.507538,37096700
2019-03-28,178.360001,178.979996,177.240005,178.309998,177.916626,30368200
2019-03-29,179.690002,179.830002,178.589996,179.660004,179.263657,35205500
2019-04-01,181.509995,182.259995,180.770004,182.039993,181.638397,30969500
2019-04-02,182.240005,182.910004,181.779999,182.729996,182.326874,22645200
2019-04-03,183.759995,184.919998,183.210007,183.779999,183.374557,31633500
2019-04-04,183.830002,184.500000,182.649994,183.710007,183.304733,28530800
2019-04-05,184.240005,184.770004,184.020004,184.660004,184.252625,25674700
2019-04-08,184.360001,185.279999,183.630005,185.130005,184.721588,22697500
2019-04-09,184.500000,185.110001,184.089996,184.479996,184.073013,25631900
2019-04-10,184.720001,185.529999,184.520004,185.470001,185.060837,24563000
2019-04-11,185.779999,185.779999,184.690002,185.029999,184.621811,20654100
2019-04-12,185.850006,185.949997,185.059998,185.830002,185.420044,24989100
2019-04-15,185.839996,186.070007,184.619995,185.860001,185.449982,21073000
2019-04-16,186.539993,186.910004,185.929993,186.500000,186.088562,27195700
2019-04-17,187.750000,187.929993,186.600006,187.149994,186.737122,29651600
2019-04-18,187.460007,187.789993,186.289993,187.389999,186.976608,28580900
2019-04-22,186.570007,187.990005,186.429993,187.919998,187.505432,17936000
2019-04-23,188.399994,190.539993,188.130005,190.309998,189.890152,33665600
2019-04-24,190.470001,190.710007,189.649994,189.710007,189.291489,24977100
2019-04-25,191.130005,191.220001,189.449997,190.479996,190.059784,29517500
2019-04-26,190.179993,190.690002,188.589996,190.649994,190.229401,26359500
2019-04-29,190.649994,191.320007,190.339996,191.020004,190.598602,21716200
2019-04-30,189.479996,189.850006,188.210007,189.539993,189.121857,31495300
2019-05-01,190.779999,191.320007,188.800003,188.929993,188.513199,34797100
2019-05-02,188.869995,189.850006,186.869995,188.110001,187.695007,44110100
2019-05-03,189.669998,191.250000,189.330002,191.110001,190.688400,30386200
2019-05-06,187.050003,190.199997,186.759995,189.940002,189.520981,38371800
2019-05-07,187.869995,188.669998,184.509995,186.240005,185.829147,58818100
2019-05-08,185.630005,187.169998,184.960007,185.770004,185.360184,37165300
2019-05-09,183.699997,185.410004,182.089996,184.770004,184.362381,55351700
2019-05-10,184.110001,185.889999,181.029999,185.000000,184.591873,58526400
2019-05-13,180.289993,181.259995,178.059998,178.580002,178.186035,67185800
