Date,Open,High,Low,Close,Adj Close,Volume
2014-08-14,178.919998,179.479996,178.770004,179.479996,162.182953,842000
2014-08-15,180.149994,180.300003,178.179993,179.429993,162.137726,1694300
2014-08-18,180.460007,181.029999,180.339996,180.919998,163.484131,1039100
2014-08-19,181.399994,182.029999,181.229996,181.880005,164.351639,583000
2014-08-20,181.660004,182.610001,181.649994,182.380005,164.803452,1507800
2014-08-21,182.580002,183.169998,182.419998,182.899994,165.273331,756600
2014-08-22,182.800003,183.089996,182.240005,182.610001,165.011261,656500
2014-08-25,183.539993,183.860001,183.270004,183.559998,165.869736,1097200
2014-08-26,183.720001,184.169998,183.649994,183.710007,166.005249,749500
2014-08-27,183.809998,183.899994,183.339996,183.679993,165.978165,602600
2014-08-28,183.020004,183.619995,182.850006,183.539993,165.851624,447700
2014-08-29,183.830002,184.059998,183.229996,183.990005,166.258286,617200
2014-09-02,184.300003,184.300003,183.270004,183.940002,166.213089,553800
2014-09-03,184.649994,184.679993,183.589996,183.860001,166.140808,627600
2014-09-04,184.119995,184.820007,183.100006,183.559998,165.869736,536700
2014-09-05,183.529999,184.470001,182.880005,184.440002,166.664932,502300
2014-09-08,184.240005,184.460007,183.399994,183.970001,166.240204,635900
2014-09-09,183.789993,183.880005,182.410004,182.779999,165.164871,515300
2014-09-10,182.889999,183.550003,182.270004,183.500000,165.815506,849800
2014-09-11,182.750000,183.699997,182.610001,183.669998,165.969101,525700
2014-09-12,183.490005,183.509995,182.080002,182.580002,164.984177,724000
2014-09-15,182.639999,182.740005,181.889999,182.460007,164.875732,1021700
2014-09-16,182.110001,184.119995,182.000000,183.820007,166.104645,565100
2014-09-17,184.110001,184.919998,183.199997,184.080002,166.339615,975000
2014-09-18,184.649994,185.059998,184.429993,185.039993,167.207077,740000
2014-09-19,185.639999,185.839996,184.580002,184.860001,167.044434,964000
2014-09-22,183.699997,183.740005,182.229996,182.559998,165.751541,836700
2014-09-23,181.949997,182.699997,181.509995,181.529999,164.816360,752200
2014-09-24,181.619995,183.070007,181.119995,182.990005,166.141953,968500
2014-09-25,182.500000,182.520004,179.990005,180.050003,163.472656,1603000
2014-09-26,180.360001,181.880005,180.130005,181.500000,164.789078,916900
2014-09-29,179.929993,181.449997,179.770004,181.139999,164.462250,1482800
